"Name","Incumbancy_Status","Party_Affiliation"
"David Mann","I","D"
"Amy Murray","I","R"
"Chris Seelbach","I","D"
"P.G. Sittenfeld","I","D"
"Christopher Smitherman","I","Third"
"Wendel Young","I","D"
"Derek Bauman","NI","Un"
"Erica Black-Johnson","NI","Un"
"Christina Burica","NI","Un"
"Ozie Davis","NI","D"
"Tamaya Dennard","NI","D"
"Michelle Dillingham","NI","D"
"Tonya Dumas","NI","Un"
"Manuel Fossie","NI","Un"
"Henry Frondorf","NI","Un"
"Brian Garry","NI","Third"
"Lesley Jones","NI","D"
"Greg Landsman","NI","D"
"Seth Maney","NI","R"
"Jeff Pastor","NI","R"
"Kelli Prather","NI","Un"
"Laure Quinlan","NI","Un"
"Tommie Sulliven","NI","Un"
