"Name","Incumbancy_Status","Party_Affiliation"
"Anna Albi","I","D"
"Audricia Brooks","NI","Un"
"Laketa Cole","NI","Un"
"Jerry Corbert","NI","Un"
"Jeff Cramerding","I","D"
"Don Driehaus","NI","Un"
"Kevin Farmer","NI","Un"
"Gary Favors","NI","R"
"Steve Gooden","NI","Un"
"Ryan James","NI","D"
"Mark Jeffreys","I","D"
"Dawn Johnson","NI","Un"
"Scotty Johnson","I","D"
"Jan-Michele Kearney","I","D"
"Liz Keating","NI","R"
"Dale Mallory","NI","Un"
"Linda Matthews","NI","Un"
"Brandon Nixon","NI","Un"
"Evan Nolan","I","D"
"Meeka Owens","I","D"
"Raffel Prophett","NI","Un"
"Stephan Pryor","NI","Un"
"Christopher Smithermann","NI","Un"
"Seth Walsh","I","D"
"Donald Washington","NI","Un"
"Aaron Weiner","NI","Un"
