"Name","Incumbancy_Status","Party_Affiliation"
"Jalen Alford","NI","Un"
"Tom Brinkman","NI","Un"
"Jamie Castle","NI","Un"
"Kakisha Cook","NI","Un"
"Jeff Cramerking","NI","D"
"Michelle Dillingham","NI","Un"
"Kevin Flynn","NI","Un"
"Jackie Frondorf","NI","Un"
"Bill Frost","NI","Un"
"Brian Garry","NI","Un"
"Steve Gooden","I","R"
"Galen Gordon","NI","Un"
"Kurt Grossman","NI","Un"
"Reggie Harris","NI","D"
"Rob Harris","NI","Un"
"K.A. Heard","NI","Third"
"Evan Holt","NI","Un"
"Nick Jabin","NI","Un"
"Mark Jeffreys","NI","D"
"Scotty Johnson","NI","D"
"Liz Keating","I","R"
"Andrew Keating","NI","Un"
"Greg Landsman","NI","D"
"Jan-Michelle Kearney","I","D"
"John Maher","NI","Un"
"Peterson Mingo","NI","Un"
"Phillip O'Neal","NI","D"
"Meeka Owens","NI","D"
"Victoria Parks","I","D"
"Betsy Sundermann","NI","R"
"Jim Tarball","NI","Un"
"John Williams","NI","Un"
"Logan Simmering","NI","Un"
"Te'Hirea Powell","NI","Un"
"Stacy Smith","NI","Un"
"Kevin Flynn","NI","Un"
